match_id,year,SetNo,GameNo,PointNumber,player1,player2,ServeNumber,ServeIndicator,PointWinner,ServeWidth,ServeDepth,RallyCount,P1DistanceRun,P2DistanceRun,P1Score,P2Score,state,GameWinner,serving_player_won,speed_ratio,importance,P1BreakPoint,P2BreakPoint,P1GamesWon,P2GamesWon,P1Ace,P2Ace,P1DoubleFault,P2DoubleFault,Speed_MPH,player1_name,player2_name,player1_avg_welo,player2_avg_welo,welo_p1_bt,welo_p2_bt,p_server_beats_returner,ElapsedSeconds
2018-usopen-2101,2018,1,1,1,Simona Halep,Kaia Kanepi,1,1,1,B,CTL,1,1.219,1.401,15,0,15-0,0,1,0.924177396280401,18.7,0,0,0,0,0,0,0,0,85,halep s.,kanepi k.,1500,1538.80306854415,8.63475,8.8581198640744,0.444388565453372,0
2018-usopen-2101,2018,1,1,2,Simona Halep,Kaia Kanepi,1,1,1,C,NCTL,1,1.34,1.963,30,0,30-0,0,1,1.01115879828326,10.63,0,0,0,0,1,0,0,0,93,halep s.,kanepi k.,1500,1538.80306854415,8.63475,8.8581198640744,0.444388565453372,21
2018-usopen-2101,2018,1,1,3,Simona Halep,Kaia Kanepi,1,1,2,BW,CTL,6,21.138,17.264,30,15,30-15,0,0,1.0002861230329,23.07,0,0,0,0,0,0,0,0,92,halep s.,kanepi k.,1500,1538.80306854415,8.63475,8.8581198640744,0.444388565453372,39
2018-usopen-2101,2018,1,1,4,Simona Halep,Kaia Kanepi,2,1,2,BC,NCTL,6,27.179,24.477,30,30,30-30,0,0,0.858941344778255,45.31,0,0,0,0,0,0,0,0,79,halep s.,kanepi k.,1500,1538.80306854415,8.63475,8.8581198640744,0.444388565453372,65
2018-usopen-2101,2018,1,1,5,Simona Halep,Kaia Kanepi,1,1,1,C,CTL,1,3.821,4.48,40,30,40-30,0,1,1.11988555078684,27.19,0,0,0,0,0,0,0,0,103,halep s.,kanepi k.,1500,1538.80306854415,8.63475,8.8581198640744,0.444388565453372,108
2018-usopen-2101,2018,1,1,6,Simona Halep,Kaia Kanepi,2,2,1,BW,NCTL,15,39.96,35.617,0,0,0-0,1,0,0.788526090936833,26.12,0,0,1,0,0,0,0,0,76,halep s.,kanepi k.,1500,1538.80306854415,8.63475,8.8581198640744,0.555611434546628,127
2018-usopen-2101,2018,1,2,7,Simona Halep,Kaia Kanepi,1,2,2,B,NCTL,5,20.14,13.213,0,15,15-0,0,1,0.985657613671041,18.7,0,0,1,0,0,0,0,0,95,halep s.,kanepi k.,1500,1538.80306854415,8.63475,8.8581198640744,0.555611434546628,210
2018-usopen-2101,2018,1,2,8,Simona Halep,Kaia Kanepi,1,2,1,BC,NCTL,6,18.012,12.446,15,15,15-15,0,0,1.03753433018004,32.48,0,0,1,0,0,0,0,0,100,halep s.,kanepi k.,1500,1538.80306854415,8.63475,8.8581198640744,0.555611434546628,239
2018-usopen-2101,2018,1,2,9,Simona Halep,Kaia Kanepi,1,2,2,BC,NCTL,1,3.607,2.533,15,30,30-15,0,1,1.06866036008544,23.07,0,0,1,0,0,0,0,0,103,halep s.,kanepi k.,1500,1538.80306854415,8.63475,8.8581198640744,0.555611434546628,268
2018-usopen-2101,2018,1,2,10,Simona Halep,Kaia Kanepi,1,2,1,C,NCTL,4,12.598,9.915,30,30,30-30,0,0,0.913030210558438,45.31,0,0,1,0,0,0,0,0,88,halep s.,kanepi k.,1500,1538.80306854415,8.63475,8.8581198640744,0.555611434546628,295
2018-usopen-2101,2018,1,2,11,Simona Halep,Kaia Kanepi,1,2,2,W,CTL,3,10.745,6.275,30,40,40-30,0,1,0.933780897162038,27.19,0,0,1,0,0,0,0,0,90,halep s.,kanepi k.,1500,1538.80306854415,8.63475,8.8581198640744,0.555611434546628,322
