"","match_id","slam","year","SetNo","GameNo","PointNumber","player1","player2","Speed_MPH","ServeNumber","PointServer","PointWinner","ServeWidth","ServeDepth","RallyCount","P1DistanceRun","P2DistanceRun","P1Score","P2Score","state","GameWinner","serving_player_won","speed_ratio","P1BreakPoint","P2BreakPoint","P1GamesWon","P2GamesWon","importance","P1Ace","P2Ace","P1DoubleFault","P2DoubleFault","player1_name","player2_name","player1_avg_welo","player2_avg_welo","ElapsedSeconds"
"1","2018-usopen-2101","usopen",2018,1,1,"1","Simona Halep","Kaia Kanepi",85,1,1,1,"B","CTL",1,1.219,1.401,"15","0","15-0",0,1,0.934065934065934,0,0,0,0,0.266804360137777,0,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,0
"2","2018-usopen-2101","usopen",2018,1,1,"2","Simona Halep","Kaia Kanepi",93,1,1,1,"C","NCTL",1,1.34,1.963,"30","0","30-0",0,1,1.02197802197802,0,0,0,0,0.565546247507422,1,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,21
"3","2018-usopen-2101","usopen",2018,1,1,"3","Simona Halep","Kaia Kanepi",92,1,1,2,"BW","CTL",6,21.138,17.264,"30","15","30-15",0,0,1.01098901098901,0,0,0,0,0.113860024567937,0,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,39
"4","2018-usopen-2101","usopen",2018,1,1,"4","Simona Halep","Kaia Kanepi",79,2,1,2,"BC","NCTL",6,27.179,24.477,"30","30","30-30",0,0,0.868131868131868,0,0,0,0,0.00503192684714582,0,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,65
"5","2018-usopen-2101","usopen",2018,1,1,"5","Simona Halep","Kaia Kanepi",103,1,1,1,"C","CTL",1,3.821,4.48,"40","30","40-30",0,1,1.13186813186813,0,0,0,0,0.0923260708473559,0,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,108
"6","2018-usopen-2101","usopen",2018,1,1,"6","Simona Halep","Kaia Kanepi",76,2,1,1,"BW","NCTL",15,39.96,35.617,"0","0","0-0",1,1,0.835164835164835,0,0,1,0,0.0101397905989895,0,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,127
"7","2018-usopen-2101","usopen",2018,1,2,"7","Simona Halep","Kaia Kanepi",95,1,2,2,"B","NCTL",5,20.14,13.213,"0","15","15-0",0,1,0.972696245733788,0,0,1,0,0.266804360137777,0,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,210
"8","2018-usopen-2101","usopen",2018,1,2,"8","Simona Halep","Kaia Kanepi",100,1,2,1,"BC","NCTL",6,18.012,12.446,"15","15","15-15",0,0,1.02389078498294,0,0,1,0,0.0015964639514866,0,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,239
"9","2018-usopen-2101","usopen",2018,1,2,"9","Simona Halep","Kaia Kanepi",103,1,2,2,"BC","NCTL",1,3.607,2.533,"15","30","30-15",0,1,1.05460750853242,0,0,1,0,0.113860024567937,0,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,268
"10","2018-usopen-2101","usopen",2018,1,2,"10","Simona Halep","Kaia Kanepi",88,1,2,1,"C","NCTL",4,12.598,9.915,"30","30","30-30",0,0,0.901023890784983,0,0,1,0,0.00503192684714582,0,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,295
"11","2018-usopen-2101","usopen",2018,1,2,"11","Simona Halep","Kaia Kanepi",90,1,2,2,"W","CTL",3,10.745,6.275,"30","40","40-30",0,1,0.921501706484642,0,0,1,0,0.0923260708473559,0,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,322
"12","2018-usopen-2101","usopen",2018,1,2,"12","Simona Halep","Kaia Kanepi",98,1,2,2,"W","CTL",3,11.22,11.862,"0","0","0-0",2,1,1.00341296928328,0,0,1,1,0.0101397905989895,0,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,347
"13","2018-usopen-2101","usopen",2018,1,3,"13","Simona Halep","Kaia Kanepi",93,1,1,1,"W","CTL",5,19.757,14.681,"15","0","15-0",0,1,1.02197802197802,0,0,1,1,0.266804360137777,0,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,391
"14","2018-usopen-2101","usopen",2018,1,3,"14","Simona Halep","Kaia Kanepi",103,1,1,2,"C","NCTL",12,35.527,35.265,"15","15","15-15",0,0,1.13186813186813,0,0,1,1,0.0015964639514866,0,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,423
"15","2018-usopen-2101","usopen",2018,1,3,"15","Simona Halep","Kaia Kanepi",105,1,1,2,"BC","NCTL",4,16.119,14.373,"15","30","15-30",0,0,1.15384615384615,0,0,1,1,0.10761639432791,0,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,474
"16","2018-usopen-2101","usopen",2018,1,3,"16","Simona Halep","Kaia Kanepi",86,1,1,1,"W","NCTL",3,11.833,11.615,"30","30","30-30",0,1,0.945054945054945,0,0,1,1,0.00503192684714582,0,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,503
"17","2018-usopen-2101","usopen",2018,1,3,"17","Simona Halep","Kaia Kanepi",105,1,1,2,"C","CTL",2,5.787,5.785,"30","40","30-40",0,0,1.15384615384615,0,0,1,1,0.0837171962227179,0,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,535
"18","2018-usopen-2101","usopen",2018,1,3,"18","Simona Halep","Kaia Kanepi",109,1,1,2,"C","CTL",6,20.79,22.343,"0","0","0-0",2,0,1.1978021978022,0,1,1,2,0.0101397905989895,0,0,0,0,"halep s.","kanepi k.",1500,1538.80306854415,556
